date,warehouse,product,units_sold,stock,returns,lead_time_days,promo_flag,unit_cost,holding_cost
2026-03-01,A,Mobile Phone,92,780,3,5,0,430,1.20
2026-03-02,A,Mobile Phone,98,688,2,5,0,430,1.20
2026-03-03,A,Mobile Phone,121,590,4,5,1,430,1.20
2026-03-04,A,Mobile Phone,117,469,3,5,1,430,1.20
2026-03-05,A,Mobile Phone,88,352,2,6,0,430,1.20
2026-03-06,A,Mobile Phone,84,264,2,6,0,430,1.20
2026-03-07,A,Mobile Phone,109,180,3,6,1,430,1.20
2026-03-01,B,Mobile Phone,51,1320,1,4,0,430,1.05
2026-03-02,B,Mobile Phone,55,1269,1,4,0,430,1.05
2026-03-03,B,Mobile Phone,61,1214,2,4,0,430,1.05
2026-03-04,B,Mobile Phone,58,1153,1,4,0,430,1.05
2026-03-05,B,Mobile Phone,64,1095,2,4,0,430,1.05
2026-03-06,B,Mobile Phone,69,1031,1,4,1,430,1.05
2026-03-07,B,Mobile Phone,72,962,1,4,1,430,1.05
2026-03-01,C,Laptop,34,520,1,8,0,890,2.40
2026-03-02,C,Laptop,38,486,2,8,0,890,2.40
2026-03-03,C,Laptop,41,448,1,8,1,890,2.40
2026-03-04,C,Laptop,40,407,1,8,1,890,2.40
2026-03-05,C,Laptop,35,367,0,8,0,890,2.40
2026-03-06,C,Laptop,37,332,1,9,0,890,2.40
2026-03-07,C,Laptop,43,295,1,9,1,890,2.40
2026-03-01,D,Laptop,22,960,0,7,0,890,2.10
2026-03-02,D,Laptop,25,938,1,7,0,890,2.10
2026-03-03,D,Laptop,28,913,0,7,0,890,2.10
2026-03-04,D,Laptop,27,885,1,7,0,890,2.10
2026-03-05,D,Laptop,26,858,0,7,1,890,2.10
2026-03-06,D,Laptop,32,832,1,7,1,890,2.10
2026-03-07,D,Laptop,35,800,1,7,1,890,2.10
